GeneName,GeneID,pH7.4(control),pH4.8,5%NaCl,5mM H2O2
lmo1580,986961,1836,139,28312,9421
ackA,986937,2209,226,6164,4723
lmo1582,986947,1673,216,7727,7553
tpx,987763,307,17,21877,7419
lmo1584,986942,31,3,1231,455
lmo1585,987795,29,5,499,334
ppnK,987765,1188,146,8850,12786
argF,987773,121,0,69,54
argD,984620,38,0,7,10
argB,987804,9,0,1,5
argJ,984450,52,0,15,5
argC,984694,84,0,36,26
lmo1592,986418,517,12,2260,518
lmo1593,985205,94,14,458,284
lmo1594,986850,521,11,10237,4058
lmo1595,986055,22,4,351,212
rpsD,985744,14191,738,18344,7093
lmo1597,984705,101,14,16576,1202
tyrS,985752,218,12,5841,2423
ccpA,985748,717,37,31614,11277
aroA,985307,942,97,8497,4056
lmo1601,985749,57,3,3679,2031
lmo1602,985745,224,50,4838,2068
lmo1603,985743,727,54,2506,1088
lmo1604,985746,275,45,3566,2202
murC,985741,613,82,23202,8421
lmo1606,985737,132,27,932,1196
pheT,985742,156,9,1929,1044
lmo1608,986017,100,15,1870,1021
lmo1609,985740,9,5,674,257
lmo1610,985734,70,15,380,567
lmo1611,985736,366,49,626,895
lmo1612,985731,607,12,9921,2127
lmo1613,985723,2,2,541,321
lmo1614,985733,78,37,676,495
trmB,985730,362,16,4231,2307
lmo1616,985729,60,12,1164,885
lmo1617,985727,140,42,680,426
lmo1618,985724,1,0,16,23
daaA,985722,1703,64,32095,7375
lmo1620,985721,813,62,16576,7178
lmo1621,985720,8,9,322,151
lmo1622,985726,223,84,1086,3086
lmo1623,985719,253,47,1843,707
lmo1624,985718,207,55,5243,2261
lmo1625,985717,442,109,8387,5238
lmo1626,985552,125,29,1028,996
trpA,985711,8,7,160,129
trpB,985710,11,0,209,174
trpF,985716,1,0,72,68
trpC,985709,4,0,56,43
trpD,985706,0,0,90,100
trpG,985715,0,0,45,46
trpE,985705,0,0,176,103
lmo1634,985703,10696,993,24378,3404
lmo1635,985702,6,9,324,740
lmo1636,985701,208,49,667,803
lmo1637,985693,620,244,4646,2944
lmo1638,985696,177,39,5027,2854
lmo1639,985691,20,20,479,491
lmo1640,985692,73,12,770,1280
citB,985689,816,118,24667,3858
lmo1642,985687,184,33,2890,1320
lmo1643,985686,18,13,1084,269
lmo1644,985681,99,32,1096,1018
lmo1645,985688,1,1,118,99
lmo1646,985682,16,2,69,86
lmo1647,985684,57,19,1264,1187
lmo1648,985680,0,0,0,0
lmo1649,985678,667,4,4775,2334
lmo1650,985591,21,26,289,256
lmo1651,985677,87,32,242,108
lmo1652,985675,322,44,1148,235
lmo1653,985674,0,0,34,17
lmo1654,985673,0,0,13,7
lmo1655,985665,0,0,302,128
lmo1656,985594,6,1,80,28
tsf,985671,1874,99,47816,14913
rpsB,985326,4672,134,21484,8947
lmo1659,985672,0,0,0,0
leuS,985669,349,20,2332,1462
lmo1661,985668,571,60,213,200
lmo1662,985666,11,13,232,133
ansB,985663,1791,260,4923,2144
metK,985664,618,71,2668,2845
lmo1665,985662,161,48,7972,6838
lmo1666,985661,327,54,2789,1550
lmo1667,985660,105,3,679,589
lmo1668,985659,5,2,454,383
lmo1669,985657,9,0,79,45
lmo1670,985658,86,40,1196,1163
lmo1671,985656,0,0,9,14
menE,985655,90,5,1412,610
menB,985651,197,4,7084,4134
lmo1674,985652,435,61,1489,2055
menD,985654,252,70,1394,1196
menF,985649,89,33,954,1063
lmo1677,985647,120,56,5727,3068
lmo1678,985643,52,13,1202,4220
lmo1679,985644,9,1,145,689
lmo1680,985641,9,5,279,938
lmo1681,985640,16,9,128,731
lmo1682,985646,50,12,1578,419
lmot18,3167583,0,0,25,33
lmot19,3167584,0,0,973,1485
lmot20,3167585,0,0,96,138
lmot21,3167586,0,0,78,184
lmot22,3167587,0,0,474,666
lmot23,3167588,0,0,73,47
lmot24,3167589,0,0,120,58
lmot25,3167590,0,0,513,905
lmot26,3167591,0,0,292,295
lmot27,3167592,0,0,447,281
lmot28,3167593,0,0,431,429
lmot29,3167594,0,0,312,488
lmot30,3167595,0,0,1056,646
lmot31,3167596,0,0,69,34
lmot32,3167597,0,0,295,306
lmot33,3167598,0,0,106,168
lmot34,3167599,0,0,621,411
lmot35,3167600,0,0,3766,1518
lmot36,3167601,0,0,2216,1152
lmot37,3167602,0,0,372,336
lmot38,3167603,0,0,599,924
lmor07,985636,236106,56860,280120,260443
lmor08,985635,226115,60995,880033,708776
lmor09,985634,127882,41563,685949,551673
lmo1683,985632,1353,151,6246,5444
lmo1684,985633,18,2,1561,1328
gsaB,985629,107,18,3422,1483
lmo1686,985630,261,121,11701,9268
lmo1687,985631,2134,414,24509,30756
lmo1688,985625,30,0,1737,342
lmo1689,985627,9,7,298,262
lmo1690,985626,1061,483,39284,21172
lmo1691,985623,338,25,1592,1099
lmo1692,985622,6,4,580,288
recX,985620,8,3,94,101
lmo1694,985624,183,161,10271,4712
lmo1695,985618,1044,255,10270,8544
lmo1696,985619,87,65,998,2312
lmo1697,985615,283,24,1120,1963
lmo1698,985612,125,66,12705,17797
lmo1699,985617,579,18,4351,2975
lmo1700,985611,284,0,561,376
lmo1701,985610,8,0,91,77
lmo1702,985982,17,3,509,545
lmo1703,985603,131,20,725,937
lmo1704,985606,11,4,480,343
lmo1705,985607,561,47,1572,538
lmo1706,985609,52,102,3807,3027
lmo1707,985604,23,10,1035,623
lmo1708,985601,212,96,2096,743
lmo1709,985602,1636,101,10924,4697
lmo1710,985600,3807,115,14369,6683
lmo1711,985599,768,96,5638,6840
lmo1712,985590,71,60,4499,3852
lmo1713,985588,195,53,2875,6689
lmot39,3167611,0,0,18,24
lmo1714,985595,0,0,0,0
lmo1715,985568,0,0,3,2
lmo1716,985587,0,0,42,18
lmo1717,985593,0,0,0,0
lmo1718,985442,193,12,6733,1349
lmo1719,986671,9,0,196,46
lmo1720,986877,14,2,212,93
lmo1721,985585,153,23,4741,2370
lmo1722,985584,219,18,1411,509
lmo1723,985582,11,11,261,158
lmo1724,986662,7,4,95,97
lmo1725,985573,29,2,176,236
lmo1726,985614,90,43,1297,932
lmo1727,986088,19,0,275,138
lmo1728,985695,6,1,55,71
lmo1729,985699,2,0,38,36
lmo1730,985575,9,0,79,70
lmo1731,985577,0,3,106,89
lmo1732,985574,0,8,98,63
gltD,984552,73,8,1601,91
lmo1734,986573,75,18,303,49
gltC,985367,7,0,107,107
lmo1736,986571,67,6,838,350
lmo1737,985567,140,1,1327,886
lmo1738,985565,4,1,109,46
lmo1739,985571,8,1,67,24
lmo1740,985563,1,0,45,26
lmo1741,985955,100,23,4134,1248
adeC,985560,107,11,1397,633
lmo1743,986834,20,1,235,136
lmo1744,985378,164,11,1266,496
lmo1745,985561,129,43,11511,4213
lmo1746,985569,62,43,3046,1352
lmo1747,985559,76,22,1149,716
lmo1748,986669,170,13,925,384
lmo1749,986346,52,10,899,2225
lmo1750,985557,221,39,816,967
lmo1751,985554,235,26,1680,674
lmo1752,985556,4,11,289,125
lmo1753,985555,140,19,490,709
gatB,985551,477,77,6689,2720
gatA,985546,458,117,5785,2793
gatC,985549,41,1,422,197
lmo1757,987885,338,42,1514,1308
ligA,985988,308,72,1545,1207
pcrA,985986,195,23,1374,1016
lmo1760,985989,40,7,752,614
lmo1761,985984,88,33,2526,1266
lmo1762,985983,14,157,103,132
lmo1763,985981,51,12,2098,1993
purD,985980,23,0,213,366
purH,985977,0,0,34,43
purN,985978,0,0,33,50
purM,985975,0,0,38,75
purF,985974,8,0,139,244
purQ,985972,9,0,121,226
purL,985306,2,0,51,171
lmo1771,985970,1,0,34,95
purC,985969,2,0,96,223
purB,985967,81,16,2629,2260
purK,985968,67,32,437,621
purE,985964,78,3,91,368
lmo1776,985962,45,26,3984,7007
lmor10,985959,285927,42976,279646,260187
lmor11,985963,218776,65820,879516,709709
lmor12,985956,126272,38422,607491,486646
lmo1777,985957,2,2,63,126
lmo1778,985960,25,13,965,726
lmo1779,985954,10,14,430,420
lmo1780,985952,329,34,1604,2293
lmo1781,985951,0,0,43,54
lmo1782,985950,83,9,5251,3485
rplT,985949,9552,63,1725,542
rpmI,985946,409,4,15030,2270
infC,985947,1192,84,9479,4470
inlC,985945,16,2,715,311
rplS,985943,20298,2263,57683,17000
lmo1788,985948,6,2,521,153
lmo1789,985940,19,4,921,407
lmo1790,985953,72,15,1206,1306
lmo1791,985939,385,118,1445,1034
trmD,985936,220,51,2914,1119
rimM,985937,18,8,595,396
lmo1794,985935,2,0,159,212
lmo1795,985941,84,6,229,211
lmo1796,985933,1873,73,5414,1446
rpsP,985931,3864,120,12400,3124
lmo1798,985932,4,0,50,50
lmo1799,985930,1,1,104,94
lmo1800,985934,1,0,46,33
ffh,985929,302,49,4822,2417
lmo1802,985927,0,0,83,54
lmo1803,985925,580,58,1294,508
smc,985926,190,17,1110,551
rnc,985924,74,14,379,389
acpP,986035,3084,229,52615,17362
fabG,985923,234,9,5521,1929
fabD,985921,566,39,798,446
plsX,985913,156,46,624,748
lmo1810,985918,55,12,673,1192
lmo1811,985917,171,48,324,334
lmo1812,985916,76,8,290,275
lmo1813,985914,320,25,3684,2031
lmo1814,985909,267,18,1569,876
lmo1815,985911,53,0,181,124
rpmB,985895,641,168,15307,3632
lmo1817,985910,99,24,322,226
lmo1818,985908,340,122,3674,2336
lmo1819,985912,128,22,1008,792
lmo1820,985900,193,24,1461,1007
lmo1821,985901,18,0,345,242
lmo1822,985898,55,13,360,212
fmt,985899,60,7,519,312
priA,985890,100,32,1079,708
lmo1825,985891,87,3,539,532
rpoZ,985894,556,9,470,164
gmk,985464,109,12,2674,1583
lmo1828,985886,34,3,734,564
lmo1829,985887,692,177,697,863
lmo1830,984389,146,29,2662,1681
pyrE,985882,15,0,224,199
pyrF,985880,9,1,24,25
pyrD,985875,7,1,24,34
pyrDII,985877,16,0,139,217
carB,985876,33,2,133,131
pyrAa,985872,9,1,35,55
pyrC,985870,10,0,26,30
pyrB,985866,0,0,8,16
pyrP,985867,22,2,101,119
pyrR,985861,32,23,225,294
lmo1841,985862,13,1,69,87
lmo1842,985864,36,0,113,45
lmo1843,985856,849,23,1540,724
lspA,985858,42,19,307,204
lmo1845,985860,1371,345,3145,1766
lmo1846,985857,215,116,519,239
lmo1847,985848,613,23,112978,44090
lmo1848,985850,311,89,28287,16541
lmo1849,985851,283,38,12710,11657
lmo1850,985846,123,3,1504,442
lmo1851,985844,240,36,1043,642
lmo1852,985843,143,3,2825,1813
lmo1853,985841,62,45,1058,974
lmo1854,985840,12,0,19,29
lmo1855,985842,1079,31,9476,3085
deoD,985839,156,23,2018,910
lmo1857,985942,32,6,359,165
lmo1858,985865,68,11,418,388
lmo1859,985834,238,15,1064,1212
lmo1860,985835,4,0,869,1073
lmo1861,985831,0,7,306,274
lmo1862,985832,8,7,294,306
lmo1863,985833,41,13,845,980
lmo1864,985830,72,58,2905,3266
lmo1865,985828,34,14,157,478
lmo1866,985829,7,5,53,185
lmo1867,985826,25,3,128,158
lmo1868,986136,17,2,708,145
lmo1869,985825,45,5,1261,231
lmo1870,985824,8,5,1148,1655
lmo1871,985905,241,8,1320,658
lmo1872,985820,6,1,39,25
lmo1873,985819,104,1,1440,973
thyA,985817,83,30,867,899
lmo1875,985821,116,18,442,447
lmo01876,3167621,345,189,1526,2158
lmo1877,985815,55,24,1605,1895
lmo1878,985816,69,16,582,1342
cspD,985814,35,0,5084,1360
lmo1880,985813,189,16,1289,1090
lmo1881,985812,299,69,4073,2831
rpsN,985810,9,8,42,43
lmo1883,986008,73,3,631,247
lmo1884,985809,41,19,538,560
lmo1885,985807,18,3,281,192
lmo1886,985806,280,67,5205,3745
lmo1887,985805,465,173,534,763
lmo1888,985801,47,12,8563,3841
lmo1889,985803,2,0,135,98
lmo1890,986335,42,93,144,235
recU,985797,72,77,1123,1368
pbpA,985798,667,271,3253,3046
lmo1893,985795,295,138,3646,1279
nth,985799,16,16,577,212
dnaD,985793,43,8,178,179
asnC,985792,2811,487,7610,4230
aspB,985794,85,30,1434,1346
lmo1898,985789,36,14,665,574
dinG,985791,105,23,1364,959
panD,985787,125,16,1305,1260
panC,985788,75,12,2406,2033
panB,985786,177,21,619,801
lmo1903,985782,10,0,63,68
birA,985785,33,6,1143,358
cca,985781,42,5,501,233
mgsA,985777,24,3,348,95
dapB,985778,57,1,675,245
lmo1908,985779,10,1,161,35
lmo1909,985776,56,11,250,202
lmo1910,985775,117,1,192,125
lmo1911,985774,34,15,1621,416
lmo1912,985772,47,75,2834,510
lmo1913,985769,0,0,144,70
lmo1914,985770,12,6,689,479
lmo1915,985767,240,41,446,558
lmo1916,985771,74,14,703,472
pflA,985766,2735,210,2767,2741
lmo1918,985765,112,12,1596,307
lmo1919,985763,423,126,5211,4869
lmo1920,985761,19,8,443,287
lmo1921,985800,91,10,4098,2827
lmo1922,985760,6,1,391,446
aroE,985759,1237,291,4395,7272
tyrA,985915,62,6,281,735
hisC,985756,14,3,127,500
lmo1926,985757,16,3,111,422
aroB,985753,110,12,1439,3389
aroF,985751,147,3,988,1899
ndk,984899,199,5,2171,923
lmo1930,987985,115,56,1036,708
ubiE,987989,52,12,347,478
lmo1932,987988,143,20,388,386
folE,987987,162,8,324,167
hup,987986,10932,373,41984,38924
lmo1935,984896,104,13,952,774
gpsA,985475,618,29,1846,1169
engA,986528,499,64,1542,1160
rpsA,987984,1347,74,19627,16520
cmk,984888,251,6,2490,1061
lmo1940,987982,128,51,1090,762
lmo1941,987990,176,12,5278,1692
recS,987981,25,6,352,207
lmo1943,984735,141,15,888,807
lmo1944,984673,2,5,186,153
lmo1945,984894,52,78,12990,1024
lmo1946,987980,69,6,2206,895
resE,984890,75,23,508,456
resD,984889,529,37,5278,3658
lmo1949,984426,88,16,346,203
lmo1950,985025,40,15,98,72
scpA,987973,29,0,133,96
lysA,987983,257,55,574,597
pnp,987976,1109,71,6453,1535
drm,987977,190,26,2679,621
lmo1955,987975,144,38,932,416
fur,987991,329,48,4970,5330
fhuG,987994,147,32,261,89
fhuB,984897,12,4,54,35
lmo1959,984885,10,0,16,11
fhuC,984884,22,0,78,36
lmo1961,984397,27,1,285,258
lmo1962,987974,76,85,463,1930
lmo1963,987995,35,22,152,480
lmo1964,987972,23,14,87,578
lmo1965,987969,18,1,387,370
lmo1966,987970,39,34,690,555
lmo1967,987886,351,66,1355,1056
lmo1968,984877,6,6,162,120
lmo1969,984879,1,1,2,12
lmo1970,984875,0,10,13,13
ulaA,984874,9,6,76,92
lmo1972,984873,3,0,18,19
lmo1973,987968,3,0,12,10
lmo1974,984870,40,7,742,227
lmo1975,985427,194,220,3390,2938
lmo1976,984869,90,11,1105,691
lmo1977,984866,17,4,91,134
lmo1978,984868,1243,108,10673,5834
lmo1979,987964,17,0,720,872
lmo1980,987966,12,4,163,158
lmo1981,987963,131,51,309,393
lmo1982,984865,3,0,128,290
ilvD,984864,78,6,60,23
ilvB,984805,60,3,17,30
ilvH,987961,0,1,4,3
ilvC,986504,58,3,98,109
leuA,984863,5,5,39,57
leuB,984909,3,1,27,18
leuC,985310,3,2,26,29
leuD,984859,1,1,9,6
ilvA,987960,10,3,54,98
lmo1992,986230,764,336,23709,16874
pdp,984377,395,39,2693,833
lmo1994,984855,114,28,3817,2115
dra,984581,82,1,1508,726
lmo1996,984762,6,1,64,134
lmo1997,984854,15,0,77,55
lmo1998,987959,25,2,123,123
lmo1999,984760,14,1,59,43
lmo2000,984850,2,5,60,39
lmo2001,987965,20,5,155,51
lmo2002,984415,5,0,332,24
lmo2003,984849,6,0,463,38
lmo2004,987958,7,0,310,30
lmo2005,987954,7,6,150,168
alsS,987957,414,1824,3332,3803
lmo2007,987956,1,1,45,27
lmo2008,985318,0,0,25,13
lmo2009,984845,1,7,70,57
lmo2010,984844,0,2,42,26
lmo2011,987955,1,0,69,35
lmo2012,987952,0,0,47,45
lmo2013,986399,4,1,409,199
lmo2014,984835,3,0,51,44
lmo2015,984770,16,0,224,236
cspB,985343,4178,121,357833,126150
lmo2017,987951,683,123,1487,1470
dapF,985823,72,29,561,600
ileS,986874,653,85,6373,2045
divIVA,984838,189,20,3002,3167
lmo2021,984837,41,0,170,74
lmo2022,987950,7,0,54,55
nadB,986699,0,0,2,2
nadC,984833,0,0,1,6
nadA,987946,0,0,39,30
lmo2026,984839,10,3,108,66
lmo2027,987947,6,9,711,501
lmo2028,987967,31,7,1065,589
lmo2029,987945,260,250,1952,1722
lmo2030,984817,153,13,10009,3788
lmo2031,987935,323,51,5943,2421
ftsZ,987944,1825,65,9678,4933
ftsA,987943,369,62,1848,2213
divIB,988005,63,5,527,452
murG,984828,65,7,688,478
murD,987942,437,77,1685,1482
mraY,984374,808,93,10925,5345
murE,987940,410,33,2985,2721
pbpB,984823,329,32,4690,2419
ftsL,987937,45,38,1281,547
mraW,984957,198,2,1007,1208
lmo2042,985262,132,29,1474,2235
lmo2043,987936,82,17,1093,732
lmo2044,984734,22,62,431,699
lmo2045,985261,3,9,589,623
lmo2046,986332,58,5,1860,1949
rpmF,984819,13785,176,7588,2326
lmo2048,987933,203,47,4967,5010
lmo2049,987928,31,2,231,299
lmo2050,987929,204,92,445,827
lmo2051,987932,89,8,565,467
coaD,987934,43,6,99,161
lmo2053,984808,6,4,232,296
lmo2054,984727,160,70,2062,1687
lmo2055,984919,85,11,5902,4686
lmo2056,984807,51,14,379,409
ctaB,984806,311,149,9132,4048
ctaA,984460,693,144,1879,1980
lmo2059,988010,94,23,1250,1050
lmo2060,984801,46,7,1141,712
lmo2061,987917,14,0,361,178
lmo2062,987920,14,5,463,697
lmo2063,984792,79,33,437,421
mscL,984800,365,80,9592,6982
lmo2065,987927,80,31,2227,866
lmo2066,984796,34,0,846,128
lmo2067,984795,238,112,6357,15021
groEL,987925,1206,354,29607,17828
groES,985586,29,0,1375,2357
lmo2070,986695,76,52,11401,4499
lmo2071,985572,89,30,379,336
lmo2072,984371,404,43,5463,2171
lmo2073,984372,101,13,498,565
lmo2074,987923,60,7,351,308
gcp,984790,261,23,2621,1572
lmo2076,984782,17,5,125,191
lmo2077,987921,38,5,205,282
lmo2078,987047,34,1,277,459
lmo2079,984776,61,6,399,443
lmo2080,984774,87,0,905,807
lmo2081,987918,6,0,340,212
lmo2082,984773,246,89,1740,2723
lmo2083,984857,29,0,414,713
lmo2084,984631,9,8,178,249
lmot40,3167618,0,0,1,2
lmo2085,984772,153,29,3276,1034
lmo2086,987915,20,1,297,143
lmo2087,984768,71,102,643,363
lmo2088,984767,27,12,75,65
lmo2089,984766,254,58,9585,17679
argG,984368,295,9,22,34
argH,987914,220,1,65,54
betL,987924,308,49,4552,5891
lmo2093,987913,20,0,13,45
lmo2094,984726,6,0,66,73
lmo2095,984758,13203,4047,55161,53860
lmo2096,987825,10,6,28,56
lmo2097,984387,2,0,6,2
lmo2098,984757,3,0,14,9
lmo2099,987911,9,4,112,70
lmo2100,987909,14,8,484,599
lmo2101,984461,28,14,4879,869
lmo2102,984751,0,3,1668,214
eutD,987908,2874,53,23942,8944
lmo2104,984430,2,0,80,27
lmo2105,987907,87,10,1226,77
lmo2106,984749,68,6,552,938
lmo2107,984748,2,0,38,55
lmo2108,988008,3,3,66,100
lmo2109,984746,2,4,115,199
lmo2110,987919,345,12,4843,1924
lmo2111,984745,44,14,608,293
lmo2112,985597,19,0,213,524
lmo2113,984744,453,365,16716,16165
lmo2114,987889,248,57,964,1708
lmo2115,987993,1039,783,13426,7776
lmo2116,984743,60,27,1862,1156
lmo2117,984741,15,9,1546,629
glmM,984740,1024,62,7741,5229
lmo2119,985280,808,160,5416,4203
lmo2120,984739,92,106,965,1614
lmo2121,987891,61,13,164,97
lmo2122,984733,24,1,27,14
lmo2123,984732,25,4,38,19
lmo2124,987890,35,13,98,26
lmo2125,987894,57,0,121,27
lmo2126,984730,56,9,96,51
lmo2127,984729,170,47,4000,838
lmo2128,987887,134,20,1378,397
lmo2129,984728,57,12,1228,2356
lmo2130,984779,638,69,2601,1123
lmot41,3167607,0,0,27,27
lmot42,3167564,0,0,68,49
lmot43,3167565,0,0,224,179
lmot44,3167606,0,0,17,34
lmot45,3167582,0,0,2091,1072
lmo2131,984721,6,4,211,71
lmo2132,985218,44,20,3218,786
lmo2133,984718,1,3,13,14
lmo2134,986514,0,0,2,2
lmo2135,984713,0,0,6,5
lmo2136,984934,0,0,0,0
lmo2137,986283,0,0,1,2
lmo2138,984707,1,0,59,48
lmo2139,984576,14,9,190,119
lmo2140,988001,66,32,673,360
lmo2141,984706,10,6,827,265
lmo2142,985289,84,15,3151,1474
lmo2143,984703,16,1,119,67
lmo2144,984704,7,2,595,326
lmo2145,985144,113,18,496,230
lmo2146,984701,2,0,76,173
lmo2147,984698,37,8,648,386
lmo2148,984697,338,311,8470,7119
lmo2149,984696,138,3,673,280
lmo2150,984695,95,278,873,357
lmo2151,984692,5,0,968,412
lmo2152,984598,191,55,5622,4092
lmo2153,985637,124,47,3541,2224
nrdF,984690,295,49,5377,4076
lmo2155,984725,421,80,2567,2309
lmo2156,988000,322,57,8227,2900
sepA,987998,344,150,3842,5277
lmo2158,984441,69,1,8479,3062
lmo2159,986640,11,0,24,17
lmo2160,984686,5,0,22,25
lmo2161,984682,7,2,8,11
lmo2162,984679,3,0,6,7
lmo2163,986812,3,0,7,5
lmo2164,986022,41,0,967,635
lmo2165,985896,14,15,840,466
lmo2166,984431,13,8,1141,917
lmo2167,984677,176,25,1798,2398
lmo2168,984676,65,13,20647,11907
lmo2169,985889,253,65,4157,4450
lmo2170,984604,8,1,54,81
lmo2171,984675,0,1,29,28
lmo2172,984671,4,0,3,8
lmo2173,984670,106,13,766,953
lmo2174,986302,17,27,745,417
fabG,984669,61,18,703,253
lmo2176,984665,9,9,634,793
lmo2177,984664,1442,874,4623,5173
lmo2178,984662,55,81,703,432
lmo2179,984658,0,10,43,30
lmo2180,984657,0,0,6,10
lmo2181,984655,0,0,16,12
lmo2182,984654,0,0,14,8
lmo2183,984509,0,0,8,7
lmo2184,984651,0,0,19,14
lmo2185,984803,4,0,72,13
lmo2186,984742,7,0,79,21
lmo2187,984649,1,0,961,1386
lmo2188,984648,464,86,14316,8292
lmo2189,988007,9,11,445,367
mecA,984925,727,153,8119,4603
spxA,988006,702,261,8408,3369
lmo2192,984647,2228,232,9809,3594
lmo2193,984646,1078,220,4133,1928
lmo2194,984644,589,213,3969,1958
lmo2195,984916,1566,330,4819,2661
lmo2196,984918,5139,429,46674,12722
lmo2197,984643,9,13,672,546
trpS,984829,94,6,5180,2579
lmo2199,984811,44,7,6068,1835
lmo2200,984642,12,15,3893,1083
lmo2201,985883,2779,392,24130,11798
lmo2202,984640,2068,71,17147,6922
lmo2203,984639,2,1,90,44
lmo2204,986280,3796,514,71065,85270
lmo2205,986282,481,79,28773,9762
clpB,985416,316,84,1750,2132
lmo2207,984638,495,76,7939,6961
lmo2208,984636,263,21,1362,1484
lmo2209,984635,53,3,878,1460
lmo2210,984633,317,66,492,794
hemH,984632,137,51,3321,1921
hemE,984388,51,36,671,764
lmo2213,984794,318,236,12197,2326
lmo2214,985371,329,90,4418,6130
lmo2215,984629,45,5,1358,1678
lmo2216,984814,89,27,2975,3200
lmo2217,984627,345,22,2611,1775
lmo2218,985873,21,39,996,178
lmo2219,984626,697,53,9268,8000
lmo2220,986701,489,160,15591,11194
lmo2221,984625,46,36,1230,848
lmo2222,984624,54,15,1290,1412
lmo2223,987403,297,9,4967,3995
lmo2224,985253,26,12,492,393
fumC,987997,185,32,1358,1064
lmo2226,985438,33,22,120,182
lmo2227,984938,23,5,110,99
lmo2228,985739,0,0,4,2
lmo2229,984619,195,77,5366,983
lmo2230,986212,651,91,20940,6694
lmo2231,984616,32,66,3118,780
lmo2232,984442,562,76,4240,3029
lmo2233,986617,9,0,288,130
lmo2234,984614,0,2,23,28
lmo2235,984612,10,1,14,15
lmo2236,984609,6,0,9,4
lmo2237,987939,64,0,81,58
lmo2238,984611,78,13,381,255
lmo2239,984668,65,78,4864,1614
lmo2240,984621,6,10,2095,638
lmo2241,984595,0,0,70,61
lmo2242,985837,13,3,310,225
lmo2243,984592,20,8,348,210
lmo2244,984802,108,19,635,188
lmo2245,984591,80,18,827,911
lmo2246,984843,15,5,554,674
lmo2247,984590,41,3,263,544
lmo2248,984588,163,46,3749,1349
lmo2249,984840,1883,206,7076,2244
arpJ,984583,996,33,173,132
lmo2251,984693,1318,6,327,107
lmo2252,984582,461,71,712,220
lmo2253,984901,102,1,718,1654
lmo2254,984903,585,148,2589,784
lmo2255,985217,101,43,1056,810
lmo2256,986867,478,72,14361,18625
lmo2257,985845,72982,33442,46762,57582
lmo2258,984575,463,136,1232,555
lmo2259,984570,0,2,142,153
lmo2260,984702,15,15,396,309
lmo2261,987996,246,69,4685,687
lmo2262,984566,103,28,2622,1187
lmo2263,984709,549,64,4247,2859
lmo2264,984563,432,72,2803,2210
lmo2265,984574,37,19,757,623
lmo2266,984562,57,22,1060,1647
lmo2267,985303,120,51,2468,1882
addB,984656,148,21,3612,2690
lmo2269,988009,14,0,5134,823
comK%27,986337,15,20,5068,870
lmo2271,985827,0,0,72,52
lmo2272,984555,0,0,0,0
lmo2273,985897,0,0,0,0
lmo2274,985490,0,0,0,0
lmo2275,984548,0,0,0,0
lmo2276,984564,0,0,0,0
lmo2277,984920,0,0,0,0
lysA,984524,0,5,48,64
lmo2279,984545,0,6,8,6
lmo2280,988004,0,0,2,4
lmo2281,984541,0,0,1,4
lmo2282,984600,0,0,0,0
lmo2283,984481,2,23,14,14
lmo2284,986498,3,4,14,20
lmo2285,987978,0,6,33,34
lmo2286,986372,0,0,19,6
lmo2287,984538,4,29,19,23
lmo2288,984603,2,0,0,7
lmo2289,984536,0,0,0,0
lmo2290,986224,0,2,1,8
lmo2291,984534,2,0,0,5
lmo2292,984530,0,0,2,0
lmo2293,985592,0,0,0,3
lmo2294,984580,0,0,4,7
lmo2295,984520,0,0,1,0
lmo2296,986052,0,0,3,7
lmo2297,985222,0,0,0,1
lmo2298,984594,1,0,0,6
lmo2299,984584,0,0,3,3
lmo2300,984593,0,17,12,21
lmo2301,985295,0,0,0,4
lmo2302,984881,0,0,0,0
lmo2303,984511,9,3,15,21
lmo2304,984687,0,0,3,8
lmo2305,984560,0,0,0,0
lmo2306,984507,0,0,0,0
lmo2307,985885,0,0,0,0
lmo2308,984487,0,0,0,0
lmo2309,984390,0,0,0,0
lmo2310,985397,0,0,0,0
lmo2311,985523,0,0,0,0
lmo2312,984469,0,0,0,0
lmo2313,984501,0,0,0,0
lmo2314,984495,0,0,0,0
lmo2315,984491,0,0,0,0
lmo2316,984490,0,0,0,0
lmo2317,984715,0,0,0,0
lmo2318,984489,0,0,0,0
lmo2319,984557,0,0,0,0
lmo2320,986602,0,0,0,0
lmo2321,984486,0,0,0,0
lmo2322,984678,0,0,0,0
lmo2323,986266,0,0,0,0
lmo2324,986505,0,0,3,16
lmo2325,984475,0,30,959,205
lmo2326,984477,2,1,35,19
lmo2327,984480,0,0,4,6
lmo2328,988011,0,0,0,0
lmo2329,988012,0,0,9,0
lmo2330,985317,0,0,0,0
lmo2331,985570,0,0,0,0
int,986704,19,8,1811,481
lmo02333,984719,7,16,336,342
lmo2334,984993,35,5,544,559
fruA,984474,371,1134,36171,11853
fruB,984473,19,48,2229,1846
lmo2337,986688,21,77,3701,5746
pepC,984466,66,28,2480,1440
lmo2339,984799,13,9,270,256
lmo2340,984465,78,12,649,228
lmo2341,984892,41,13,599,155
lmo2342,984459,0,0,31,82
lmo2343,984458,0,2,107,44
lmo2344,984568,0,0,20,5
lmo2345,987930,0,4,62,28
lmo2346,984455,0,0,32,16
lmo2347,984476,0,0,77,31
lmo2348,984447,0,0,63,39
lmo2349,985790,0,0,266,35
