GeneName,GeneID,pH7.4(control),pH4.8,5%NaCl,5mM H2O2
thiE,987536,2,3,355,42
lmo0319,987537,54,31,676,247
lmo0320,987538,0,0,0,0
lmo0321,987539,524,129,22204,3993
lmo0322,987554,0,0,35,17
lmo0323,987557,17,8,408,327
lmo0324,987558,0,0,0,1
lmo0325,987559,26,0,1107,430
lmo0326,987560,0,0,8,8
lmo0327,987561,7,2,29,59
lmo0328,987562,0,0,2,6
lmo0329,987563,0,0,14,9
lmo0330,987564,33,44,307,496
lmo0331,987566,60,10,365,187
lmo0332,987567,14,0,349,192
lmo0333,987568,15,20,253,492
lmo0334,987569,4,1,437,247
lmo0335,987570,0,0,11,6
lmo0336,987572,0,0,3,6
lmo0337,987574,0,0,15,47
lmo0338,987576,0,0,0,0
lmo0339,987577,0,0,74,34
lmo0340,987578,0,0,14,11
lmo0341,987581,4,0,467,411
lmo0342,987582,39,17,39,43
lmo0343,987583,7,2,12,6
lmo0344,987585,23,4,18,17
lmo0345,987586,0,0,7,10
lmo0346,987587,11,6,64,32
lmo0347,987589,8,1,26,18
lmo0348,987591,42,6,40,28
lmo0349,987592,4,0,8,4
lmo0350,987593,28,0,44,9
lmo0351,987594,14,0,74,25
lmo0352,987595,25,0,252,199
lmo0353,987596,18,0,308,283
lmo0354,987600,1629,196,8370,3327
lmo0355,987602,2078,131,1779,1456
lmo0356,987603,105,40,1415,714
lmo0357,987604,0,0,151,173
lmo0358,987605,14,2,27,57
lmo0359,987607,17,3,332,387
lmo0360,987608,34,21,306,490
lmo0361,987609,4,4,85,75
lmo0362,987610,0,0,6,16
lmo0363,987612,2,0,28,43
lmo0364,987613,3,1,141,171
lmo0365,987614,3,2,27,24
lmo0366,987616,0,0,30,11
lmo0367,987617,10,8,122,57
lmo0368,987618,4,6,150,247
lmo0369,987619,126,7,1033,586
lmo0370,987620,48,2,1118,703
lmo0371,987623,55,0,934,459
lmo0372,987624,10,5,51,37
lmo0373,987627,15,3,98,89
lmo0374,987628,8,0,11,12
lmo0375,987629,18,2,1642,1590
lmo0376,987632,97,38,2195,2313
lmo0377,987633,349,29,3268,959
lmo0378,987634,2,0,46,25
lmo0379,987635,1,1,56,26
lmo0380,987636,0,0,32,12
lmo0381,987637,11,2,92,46
lmo0382,987638,18,0,1190,660
lmo0383,987639,2,0,23,18
lmo0384,987640,1,0,17,24
lmo0385,987641,2,0,7,6
lmo0386,987642,3,0,42,19
lmo0387,987643,47,3,2858,2409
lmo0388,987645,67,451,16528,22031
ltrA,987647,30,22,1096,603
lmo0390,987648,24,0,31,108
lmo0391,987649,28,0,1503,802
lmo0392,987651,534,18,1517,1512
lmo0393,987652,44,3,362,274
lmo0394,987653,79,10,1565,9888
lmo0395,987654,5,9,125,301
proC,987655,110,16,524,552
lmo0397,987657,34,4,1327,901
lmo0398,987659,4,0,467,19
lmo0399,987673,4,0,292,0
lmo0400,987677,25,0,366,15
lmo0401,987679,15,0,498,85
lmo0402,987748,45,14,990,255
lmo0403,987752,37,14,4338,1809
lmo0404,987761,198,30,4498,2320
lmo0405,987767,145,18,2672,2061
lmo0406,987775,0,0,279,143
lmo0407,987777,7,8,1194,1148
lmo0408,987782,35,19,2833,3782
lmo0409,987787,22,18,348,234
lmo0410,987792,95,17,1351,944
lmo0411,987794,37,36,519,648
lmo0412,987812,118,3,233,297
lmo0413,987816,7,0,418,291
lmo0414,987822,137,21,1056,944
lmo0415,987823,2655,275,8218,3128
lmo0416,987824,6,0,186,89
lmo0417,987835,32,5,109,36
lmo0418,987842,13,17,183,208
lmo0419,987843,2,8,105,120
lmo0420,987845,20,4,585,666
lmo0421,987848,164,134,2048,632
lstR,987850,5,1,49,24
lmo0423,987863,8,2,45,32
lmo0424,987866,11,4,83,44
lmo0425,987867,5,0,125,39
lmo0426,987869,0,0,22,3
lmo0427,984685,0,0,9,4
lmo0428,984384,5,0,48,26
lmo0429,985137,31,9,200,144
lmo0430,986731,44,16,1045,877
lmo0431,986199,0,0,21,19
lmo0432,985147,10,0,59,48
inlA,985151,91,160,1054,2555
inlB,986892,5,20,401,2945
lmo0435,985154,0,0,0,0
lmo0436,986537,0,0,219,198
lmo0437,985156,0,0,284,112
lmo0438,985161,0,0,59,108
lmo0439,985164,35,36,1614,736
lmo0440,985165,63,23,1091,747
lmo0441,985168,176,49,2137,869
lmo0442,985171,0,0,126,56
lmo0443,985172,764,78,13580,4250
lmo0444,985173,24,15,225,184
lmo0445,985175,100,38,5473,3330
lmo0446,985176,0,0,6,17
lmo0447,986724,0,0,30,55
lmo0448,985174,0,7,197,152
lmo0449,985180,217,23,2178,1770
lmo0450,985181,101,22,2147,1485
lmo0451,985185,11,0,739,363
lmo0452,985178,49,9,749,1415
lmo0453,985179,44,15,427,1308
lmo0454,985184,40,23,182,941
lmo0455,985188,91,8,2147,872
lmo0456,985191,24,0,51,28
lmo0457,985189,10,0,35,17
lmo0458,985192,6,0,58,26
lmo0459,985370,0,0,0,0
lmo0460,985198,0,0,0,0
lmo0461,985193,0,0,0,0
lmo0462,985196,0,0,0,0
lmo0463,985195,0,0,0,0
lmo0464,985200,0,0,0,0
lmo0465,985197,0,0,0,0
lmo0466,985199,0,0,0,0
lmo0467,985201,0,0,0,0
lmo0468,984468,0,0,0,0
lmo0469,985204,0,0,0,0
lmo0470,985233,0,0,0,0
lmo0471,985203,0,0,0,0
lmo0472,985207,0,0,0,0
lmo0473,986271,0,0,0,0
lmo0474,985208,0,0,79,31
lmo0475,985206,0,0,49,33
lmo0476,985213,2,0,94,138
lmo0477,985893,4,0,65,66
lmo0478,985211,5,0,22,18
lmo0479,985210,13,0,368,259
lmo0480,985214,4,0,9,21
lmo0481,985215,28,106,226,442
lmo0482,986229,503,14,2710,829
lmo0483,985216,56,1,1334,1574
lmo0484,985220,0,0,283,14
lmo0485,985219,1,3,1393,144
rpmF,985221,980,14,3244,3039
lmo0487,985223,320,27,2424,2568
lmo0488,985225,41,8,1399,579
lmo0489,984913,30,5,115,114
aroE,985396,32,2,103,118
aroD,985226,68,6,414,351
lmo0492,985232,12,15,2192,1494
lmo0493,985231,14,6,199,119
lmo0494,985230,174,6,1674,1150
lmo0495,985247,38,21,1019,1373
lmo0496,984435,0,1,272,218
lmo0497,984596,84,25,1759,1158
lmo0498,985236,0,0,13,4
lmo0499,985241,1,0,5,6
lmo0500,985240,2,0,5,6
lmo0501,985244,17,0,157,111
lmo0502,985250,3,0,11,33
lmo0503,985248,0,0,15,22
lmo0504,985256,0,0,5,8
lmo0505,985251,0,2,11,39
lmo0506,986275,935,217,1544,2744
lmo0507,986799,0,0,10,6
lmo0508,985255,1,0,42,46
prs,985257,221,16,1542,1376
lmo0510,985258,6,2,601,558
lmo0511,985259,31,2,971,1252
lmo0512,985264,432,6,2521,1272
lmo0513,985263,25,1,2543,1220
lmo0514,985260,11,1,104,50
lmo0515,986558,745,351,9497,1864
lmo0516,985267,107,24,777,495
lmo0517,985270,34,0,149,8
lmo0518,985271,7,0,1594,526
lmo0519,985272,840,105,9198,2876
lmo0520,985284,151,29,1205,988
lmo0521,985300,48,5,212,172
lmo0522,985274,20,7,229,509
lmo0523,985275,40,4,102,143
lmo0524,985278,583,193,13452,7083
lmo0525,985282,245,15,915,1192
lmo0526,985281,173,22,537,240
lmo0527,985287,58,35,906,728
lmo0528,985299,33,6,95,77
lmo0529,985294,41,17,106,102
lmo0530,984571,133,34,568,245
lmo0531,985297,202,16,1224,469
lmo0532,985308,47,2,190,198
lmo0533,985302,88,1,66,103
lmo0534,985301,289,24,753,542
lmo0535,985755,49,7,1321,866
lmo0536,985314,43,7,204,182
lmo0537,985309,38,10,456,210
lmo0538,985381,178,68,794,282
lmo0539,985316,736,234,23646,13835
lmo0540,985229,455,64,3457,452
lmo0541,986277,47,7,212,39
lmo0542,984602,0,0,17,12
lmo0543,984396,0,0,3,7
lmo0544,986622,2,1,1,5
lmo0545,984402,0,0,7,3
lmo0546,985462,5,0,44,22
lmo0547,984998,8,2,88,66
lmo0548,986247,6,4,38,16
lmo0549,984412,1,0,21,35
lmo0550,985431,0,0,1,7
lmo0551,984417,23,2,44,140
lmo0552,986885,0,3,46,54
lmo0553,984712,622,52,29968,19938
lmo0554,984446,346,32,3018,1948
lmo0555,984577,536,136,2516,4949
lmo0556,984853,22,2,354,400
lmo0557,984617,325,26,2515,2563
lmo0558,984498,1254,143,7834,5142
lmo0559,985234,69,52,366,123
lmo0560,986813,910,54,5649,2483
hisE,984508,2,4,66,60
hisI,984519,0,0,31,51
hisF,984515,4,1,25,46
hisA,984608,3,0,12,23
hisH,984852,0,0,4,3
hisB,985436,0,0,8,18
hisD,985596,5,0,26,38
hisG,985390,5,1,17,38
hisZ,984506,19,10,72,200
hisJ,984572,65,7,1271,1413
lmo0571,985060,21,2,126,147
lmo0572,986053,32,4,888,521
lmo0573,985853,123,22,437,62
lmo0574,984589,22,10,563,266
lmo0575,986339,166,22,934,767
lmo0576,985083,14,2,729,490
lmo0577,984939,72,3,632,999
lmo0578,984630,27,8,252,533
lmo0579,986865,9,1,506,217
lmo0580,986638,179,21,6172,2342
lmo0581,984637,56,23,888,1481
iap,985140,1471,105,14344,14884
azi,984550,109,18,1816,1283
lmo0584,984661,1355,500,28695,13892
lmo0585,984672,26,2,114,113
lmo0586,986388,0,0,0,4
lmo0587,986515,13,0,99,125
lmo0588,984699,31,12,435,393
lmo0589,985047,9,2,264,286
lmo0590,985311,6,0,91,147
lmo0591,984755,0,12,218,245
lmo0592,986217,104,14,1071,1744
lmo0593,984793,1781,287,13109,2909
metX,985447,28,8,180,276
lmo0595,984789,15,16,87,166
lmo0596,985266,1395,193,33202,6633
lmo0597,985531,26,17,2172,600
lmo0599,985146,2,2,54,34
lmo0600,985344,31,8,251,95
lmo0601,984830,100,1,682,235
lmo0602,984599,179,191,10349,2384
lmo0603,986186,185,184,5340,2802
lmo0604,985855,1696,177,2641,5358
lmo0605,985094,211,23,960,450
lmo0606,985290,1,2,198,159
lmo0607,985501,102,43,776,683
lmo0608,984780,312,59,3452,2068
lmo0609,986403,141,12,6428,4321
lmo0610,985509,63,43,3883,713
acpD,985209,142,25,2241,2425
lmo0612,984912,0,1,171,262
lmo0613,987413,29,13,1940,1673
lmo0614,985507,13,0,1857,1798
lmo0615,984917,3,4,362,502
lmo0616,985453,68,7,2261,1819
lmo0617,985148,3,3,120,49
lmo0618,984940,89,24,508,479
lmo0619,984942,1,3,79,63
lmo0620,985155,26,5,1607,439
lmo0621,985249,20,1,79,112
lmo0622,985471,6,7,877,937
lmo0623,984945,16,0,1255,1438
lmo0624,985292,68,9,1310,1250
lmo0625,985881,146,29,4174,3359
lmo0626,985506,123,70,4323,4409
lmo0627,984956,6,0,77,92
lmo0628,984963,16,0,41,13
lmo0629,984966,23,2,1603,729
lmo0630,984967,2,1,45,33
lmo0631,984965,0,0,2,0
lmo0632,984378,0,0,5,1
lmo0633,984968,0,0,0,1
lmo0634,987068,0,0,17,30
lmo0635,984974,71,0,534,347
lmo0636,984970,4,0,12,34
lmo0637,984971,16,0,816,794
lmot11,3167622,0,0,120,25
lmo0638,984973,0,0,0,0
lmo0639,984972,31,19,150,109
lmo0640,987093,358,28,1357,3158
lmo0641,985323,187,135,3484,13510
lmo0642,984976,213,31,3802,1387
lmo0643,984977,4,2,208,48
lmo0644,984979,640,220,19225,12555
lmo0645,984978,486,70,3686,1992
lmo0646,984982,39,15,307,370
lmo0647,985414,517,202,9926,2739
lmo0648,987051,141,89,3802,1763
lmo0649,986557,3,0,227,182
lmo0650,984986,53,40,2561,1578
lmo0651,984985,102,15,3200,2372
lmo0652,984987,55,29,443,297
lmo0653,985279,1704,168,20218,13321
lmo0654,984989,83,0,11806,2288
lmo0655,984992,24,49,199,296
lmo0656,985077,351,156,3848,5092
lmo0657,985003,5,0,222,260
lmo0658,985006,12,2,411,446
lmo0659,984988,2,2,183,72
lmo0660,985017,2,0,111,26
lmo0661,984999,21,2,43,46
thiD,985000,526,38,10974,6950
lmo0663,985001,56,12,697,834
lmo0664,987123,39,19,148,192
lmo0665,985007,10,0,171,92
lmo0666,987139,41,14,1027,585
lmo0667,985013,66,23,3338,1476
lmo0668,987144,318,143,3242,2033
lmo0669,987147,15,6,471,9213
lmo0670,985009,2,0,77,2275
lmo0671,985011,8,4,515,241
lmo0672,985014,6,13,456,347
lmo0673,987146,14,5,609,683
lmo0674,985015,26,3,2758,2134
lmo0675,987142,14,5,1280,157
fliP,985021,69,16,1193,191
fliQ,985022,15,22,300,78
fliR,985024,138,55,1455,192
flhB,986322,131,29,521,64
flhA,986323,292,17,1015,288
lmo0681,985019,161,6,360,35
flgG,985030,268,1,644,86
lmo0683,985031,199,20,317,52
lmo0684,985027,11,1,438,22
lmo0685,985036,139,3,255,19
motB,986861,86,7,283,40
lmo0687,985029,66,7,286,18
lmo0688,986281,418,25,3617,143
lmo0689,987162,750,30,6747,196
flaA,987167,26564,768,117693,59642
cheY,985049,159,11,1526,627
cheA,985032,1436,121,3643,1859
lmo0693,985035,499,72,643,500
lmo0694,985033,1,0,47,41
lmo0695,985037,6,1,271,109
flgD,985038,32,15,99,53
flgE,985043,306,11,493,215
lmo0698,985039,16,2,57,41
fliM,987173,164,12,588,164
lmo0700,985046,700,26,483,144
lmo0701,985048,213,18,484,212
lmo0702,985034,225,8,436,160
lmo0703,985050,37,6,259,103
lmo0704,985042,54,2,221,74
flgK,985054,464,40,680,354
flgL,985052,345,7,384,177
fliD,985041,195,24,532,191
lmo0708,985045,3,0,94,24
lmo0709,985079,4,0,68,18
flgB,985059,61,0,118,22
flgC,984818,61,0,168,34
fliE,985062,24,0,369,56
fliF,985064,117,8,251,77
fliG,985067,186,15,204,67
fliH,985068,36,2,80,22
fliI,985071,129,28,205,50
lmo0717,987208,110,1,172,35
lmo0718,985076,223,0,662,87
lmo0719,985078,11,2,304,100
lmo0720,985065,36,0,340,74
lmo0721,987135,913,91,5992,6588
lmo0722,986726,65,27,231,1109
lmo0723,986712,1065,54,2130,2529
lmo0724,986702,1205,53,2022,2093
lmo0725,986516,250,113,802,615
lmo0726,986355,2,1,3224,1822
lmo0727,986353,1524,55,15772,5548
lmo0728,986299,77,14,864,1064
lmo0729,986278,1,2,147,59
lmo0730,986268,13,0,656,201
lmo0731,986215,1290,105,3477,1244
lmo0732,985958,2,2,35,25
lmo0733,985919,17,8,420,347
lmo0734,985863,33,14,449,502
lmo0735,985578,20,10,77,53
lmo0736,985545,2,7,20,10
lmo0737,985544,14,24,26,24
lmo0738,985543,31,171,63,61
lmo0739,985542,61,58,682,668
lmo0740,985541,7,3,137,141
lmo0741,985539,0,0,0,2
lmo0742,985536,0,0,16,28
lmo0743,985534,0,0,18,13
lmo0744,985533,0,0,37,25
lmo0745,985532,0,0,23,19
